Food Name,Ingredients,Detected Allergens,Risk Level,Notes,Alternative Suggestions
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Pav Bhaji,"Vegetables, Butter, Bread",Bread,Medium Risk,⚠️ Medium Risk: Contains Bread. Avoid if allergic!,
Peanut Chikki,"Peanuts, Jaggery",Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Tofu, Beef",High Risk,"⚠️ High Risk: Contains Tofu, Beef. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Vegetables, Rice, Lentils",High Risk,"⚠️ High Risk: Contains Vegetables, Rice, Lentils. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Shrimp, Eggs",High Risk,"⚠️ High Risk: Contains Shrimp, Eggs. Avoid if allergic!","Chia Seeds, Flaxseeds"
Fish Curry,"Fish, Coconut, Spices","Fish, Coconut, Spices",High Risk,"⚠️ High Risk: Contains Fish, Coconut, Spices. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Idli Sambar,"Rice, Lentils, Vegetables","Rice, Lentils",High Risk,"⚠️ High Risk: Contains Rice, Lentils. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread","Vegetables, Bread, Butter",High Risk,"⚠️ High Risk: Contains Vegetables, Bread, Butter. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Rice, Vegetables",High Risk,"⚠️ High Risk: Contains Rice, Vegetables. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Peanut Chikki,"Peanuts, Jaggery",Jaggery,Medium Risk,⚠️ Medium Risk: Contains Jaggery. Avoid if allergic!,
Chicken 65,"Chicken, Cornflour, Spices","Spices, Chicken",High Risk,"⚠️ High Risk: Contains Spices, Chicken. Avoid if allergic!",
Spring Rolls,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Palak Paneer,"Spinach, Paneer, Cream",Cream,Medium Risk,⚠️ Medium Risk: Contains Cream. Avoid if allergic!,
Masala Dosa,"Rice, Lentils, Potatoes","Potatoes, Rice",High Risk,"⚠️ High Risk: Contains Potatoes, Rice. Avoid if allergic!",
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Capsicum, Paneer, Soy Sauce",High Risk,"⚠️ High Risk: Contains Capsicum, Paneer, Soy Sauce. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices",Coconut,Medium Risk,⚠️ Medium Risk: Contains Coconut. Avoid if allergic!,
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Garlic, Soy Sauce, Cornflour",High Risk,"⚠️ High Risk: Contains Garlic, Soy Sauce, Cornflour. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices","Fish, Spices",High Risk,"⚠️ High Risk: Contains Fish, Spices. Avoid if allergic!",
Rasgulla,"Milk, Sugar",Sugar,Medium Risk,⚠️ Medium Risk: Contains Sugar. Avoid if allergic!,
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Garlic, Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Garlic, Vegetables, Soy Sauce. Avoid if allergic!",
Chicken Biryani,"Rice, Chicken, Spices",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Spring Rolls,"Wheat, Vegetables, Soy Sauce",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Vegetables, Rice",High Risk,"⚠️ High Risk: Contains Vegetables, Rice. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chow Mein,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Peanut Chikki,"Peanuts, Jaggery",Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Garlic, Tomatoes",High Risk,"⚠️ High Risk: Contains Garlic, Tomatoes. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt","Chickpea Flour, Yogurt",High Risk,"⚠️ High Risk: Contains Chickpea Flour, Yogurt. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Peanut Chikki,"Peanuts, Jaggery","Jaggery, Peanuts",High Risk,"⚠️ High Risk: Contains Jaggery, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Dhokla,"Chickpea Flour, Yogurt","Yogurt, Chickpea Flour",High Risk,"⚠️ High Risk: Contains Yogurt, Chickpea Flour. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast","Milk, Butter",High Risk,"⚠️ High Risk: Contains Milk, Butter. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Fish Curry,"Fish, Coconut, Spices","Fish, Coconut",High Risk,"⚠️ High Risk: Contains Fish, Coconut. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast","Milk, Yeast",High Risk,"⚠️ High Risk: Contains Milk, Yeast. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Manchow Soup,"Vegetables, Soy Sauce, Garlic",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Paneer, Soy Sauce",High Risk,"⚠️ High Risk: Contains Paneer, Soy Sauce. Avoid if allergic!",
Masala Dosa,"Rice, Lentils, Potatoes","Potatoes, Lentils",High Risk,"⚠️ High Risk: Contains Potatoes, Lentils. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream",Spinach,Medium Risk,⚠️ Medium Risk: Contains Spinach. Avoid if allergic!,
Peanut Chikki,"Peanuts, Jaggery","Jaggery, Peanuts",High Risk,"⚠️ High Risk: Contains Jaggery, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Fish Curry,"Fish, Coconut, Spices","Coconut, Spices, Fish",High Risk,"⚠️ High Risk: Contains Coconut, Spices, Fish. Avoid if allergic!",
Momos,"Wheat, Vegetables, Chicken","Chicken, Vegetables",High Risk,"⚠️ High Risk: Contains Chicken, Vegetables. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread","Bread, Vegetables, Butter",High Risk,"⚠️ High Risk: Contains Bread, Vegetables, Butter. Avoid if allergic!",
Chilli Paneer,"Paneer, Capsicum, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Pav Bhaji,"Vegetables, Butter, Bread",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Vegetables, Tofu",High Risk,"⚠️ High Risk: Contains Vegetables, Tofu. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Hoisin Sauce, Soy Sauce, Duck",High Risk,"⚠️ High Risk: Contains Hoisin Sauce, Soy Sauce, Duck. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices","Spices, Coconut, Fish",High Risk,"⚠️ High Risk: Contains Spices, Coconut, Fish. Avoid if allergic!",
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Schezwan Sauce, Rice, Vegetables",High Risk,"⚠️ High Risk: Contains Schezwan Sauce, Rice, Vegetables. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Sichuan Pepper, Beef, Tofu",High Risk,"⚠️ High Risk: Contains Sichuan Pepper, Beef, Tofu. Avoid if allergic!",
Chilli Paneer,"Paneer, Capsicum, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Idli Sambar,"Rice, Lentils, Vegetables",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Fish Curry,"Fish, Coconut, Spices","Fish, Coconut",High Risk,"⚠️ High Risk: Contains Fish, Coconut. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Shrimp,Medium Risk,⚠️ Medium Risk: Contains Shrimp. Avoid if allergic!,
Rajma Chawal,"Kidney Beans, Rice, Spices","Kidney Beans, Spices, Rice",High Risk,"⚠️ High Risk: Contains Kidney Beans, Spices, Rice. Avoid if allergic!",
Chicken 65,"Chicken, Cornflour, Spices",Cornflour,Medium Risk,⚠️ Medium Risk: Contains Cornflour. Avoid if allergic!,
Aloo Paratha,"Wheat, Potatoes, Spices","Potatoes, Wheat, Spices",High Risk,"⚠️ High Risk: Contains Potatoes, Wheat, Spices. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chicken Biryani,"Rice, Chicken, Spices","Spices, Chicken",High Risk,"⚠️ High Risk: Contains Spices, Chicken. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast",Butter,Medium Risk,⚠️ Medium Risk: Contains Butter. Avoid if allergic!,
Tandoori Chicken,"Chicken, Yogurt, Spices","Chicken, Yogurt",High Risk,"⚠️ High Risk: Contains Chicken, Yogurt. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Rajma Chawal,"Kidney Beans, Rice, Spices","Spices, Kidney Beans",High Risk,"⚠️ High Risk: Contains Spices, Kidney Beans. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices","Yogurt, Spices, Paneer",High Risk,"⚠️ High Risk: Contains Yogurt, Spices, Paneer. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices","Chicken, Yogurt",High Risk,"⚠️ High Risk: Contains Chicken, Yogurt. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Palak Paneer,"Spinach, Paneer, Cream",Cream,Medium Risk,⚠️ Medium Risk: Contains Cream. Avoid if allergic!,
Chicken 65,"Chicken, Cornflour, Spices",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Idli Sambar,"Rice, Lentils, Vegetables","Lentils, Vegetables, Rice",High Risk,"⚠️ High Risk: Contains Lentils, Vegetables, Rice. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce",Hoisin Sauce,Medium Risk,⚠️ Medium Risk: Contains Hoisin Sauce. Avoid if allergic!,
Chicken Biryani,"Rice, Chicken, Spices","Spices, Rice, Chicken",High Risk,"⚠️ High Risk: Contains Spices, Rice, Chicken. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Duck, Soy Sauce, Hoisin Sauce",High Risk,"⚠️ High Risk: Contains Duck, Soy Sauce, Hoisin Sauce. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Butter Naan,"Wheat, Milk, Butter, Yeast","Butter, Wheat",High Risk,"⚠️ High Risk: Contains Butter, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Palak Paneer,"Spinach, Paneer, Cream","Paneer, Cream, Spinach",High Risk,"⚠️ High Risk: Contains Paneer, Cream, Spinach. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Fried Wontons,"Wheat, Vegetables, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Eggs, Vegetables, Shrimp",High Risk,"⚠️ High Risk: Contains Eggs, Vegetables, Shrimp. Avoid if allergic!","Chia Seeds, Flaxseeds"
Malai Kofta,"Paneer, Cream, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Vegetables, Garlic, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Garlic, Soy Sauce. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Garlic, Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Garlic, Vegetables, Soy Sauce. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Eggs, Vegetables",High Risk,"⚠️ High Risk: Contains Eggs, Vegetables. Avoid if allergic!","Chia Seeds, Flaxseeds"
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Beef, Tofu, Vegetables",High Risk,"⚠️ High Risk: Contains Beef, Tofu, Vegetables. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Masala Dosa,"Rice, Lentils, Potatoes",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Rasgulla,"Milk, Sugar","Milk, Sugar",High Risk,"⚠️ High Risk: Contains Milk, Sugar. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic",Tomatoes,Medium Risk,⚠️ Medium Risk: Contains Tomatoes. Avoid if allergic!,
Rajma Chawal,"Kidney Beans, Rice, Spices","Kidney Beans, Rice",High Risk,"⚠️ High Risk: Contains Kidney Beans, Rice. Avoid if allergic!",
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Wheat, Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Wheat, Soy Sauce, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chow Mein,"Wheat, Vegetables, Soy Sauce",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Paneer Tikka,"Paneer, Yogurt, Spices","Spices, Yogurt, Paneer",High Risk,"⚠️ High Risk: Contains Spices, Yogurt, Paneer. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices","Coconut, Spices, Fish",High Risk,"⚠️ High Risk: Contains Coconut, Spices, Fish. Avoid if allergic!",
Masala Dosa,"Rice, Lentils, Potatoes",Potatoes,Medium Risk,⚠️ Medium Risk: Contains Potatoes. Avoid if allergic!,
Rasgulla,"Milk, Sugar","Milk, Sugar",High Risk,"⚠️ High Risk: Contains Milk, Sugar. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Soy Sauce, Peanuts",High Risk,"⚠️ High Risk: Contains Soy Sauce, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic",Cauliflower,Medium Risk,⚠️ Medium Risk: Contains Cauliflower. Avoid if allergic!,
Butter Naan,"Wheat, Milk, Butter, Yeast","Wheat, Butter, Yeast",High Risk,"⚠️ High Risk: Contains Wheat, Butter, Yeast. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Rasgulla,"Milk, Sugar",Sugar,Medium Risk,⚠️ Medium Risk: Contains Sugar. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices","Paneer, Spices",High Risk,"⚠️ High Risk: Contains Paneer, Spices. Avoid if allergic!",
Aloo Paratha,"Wheat, Potatoes, Spices",Potatoes,Medium Risk,⚠️ Medium Risk: Contains Potatoes. Avoid if allergic!,
Palak Paneer,"Spinach, Paneer, Cream","Paneer, Cream, Spinach",High Risk,"⚠️ High Risk: Contains Paneer, Cream, Spinach. Avoid if allergic!",
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Soy Sauce, Chicken, Peanuts",High Risk,"⚠️ High Risk: Contains Soy Sauce, Chicken, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Rajma Chawal,"Kidney Beans, Rice, Spices",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Masala Dosa,"Rice, Lentils, Potatoes",Potatoes,Medium Risk,⚠️ Medium Risk: Contains Potatoes. Avoid if allergic!,
Tandoori Chicken,"Chicken, Yogurt, Spices",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Tandoori Chicken,"Chicken, Yogurt, Spices","Chicken, Spices, Yogurt",High Risk,"⚠️ High Risk: Contains Chicken, Spices, Yogurt. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Vegetables, Rice, Schezwan Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Rice, Schezwan Sauce. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper",Beef,Medium Risk,⚠️ Medium Risk: Contains Beef. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices","Yogurt, Paneer",High Risk,"⚠️ High Risk: Contains Yogurt, Paneer. Avoid if allergic!",
Rasgulla,"Milk, Sugar",Sugar,Medium Risk,⚠️ Medium Risk: Contains Sugar. Avoid if allergic!,
Fish Curry,"Fish, Coconut, Spices","Coconut, Fish",High Risk,"⚠️ High Risk: Contains Coconut, Fish. Avoid if allergic!",
Peanut Chikki,"Peanuts, Jaggery","Peanuts, Jaggery",High Risk,"⚠️ High Risk: Contains Peanuts, Jaggery. Avoid if allergic!","Sunflower Butter, Almond Butter"
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Cornflour, Cauliflower, Garlic",High Risk,"⚠️ High Risk: Contains Cornflour, Cauliflower, Garlic. Avoid if allergic!",
Masala Dosa,"Rice, Lentils, Potatoes","Rice, Lentils",High Risk,"⚠️ High Risk: Contains Rice, Lentils. Avoid if allergic!",
Masala Dosa,"Rice, Lentils, Potatoes",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Palak Paneer,"Spinach, Paneer, Cream","Spinach, Paneer, Cream",High Risk,"⚠️ High Risk: Contains Spinach, Paneer, Cream. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream",Paneer,Medium Risk,⚠️ Medium Risk: Contains Paneer. Avoid if allergic!,
Rajma Chawal,"Kidney Beans, Rice, Spices","Kidney Beans, Spices",High Risk,"⚠️ High Risk: Contains Kidney Beans, Spices. Avoid if allergic!",
Aloo Paratha,"Wheat, Potatoes, Spices","Potatoes, Wheat, Spices",High Risk,"⚠️ High Risk: Contains Potatoes, Wheat, Spices. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Palak Paneer,"Spinach, Paneer, Cream",Paneer,Medium Risk,⚠️ Medium Risk: Contains Paneer. Avoid if allergic!,
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Shrimp,Medium Risk,⚠️ Medium Risk: Contains Shrimp. Avoid if allergic!,
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Onions, Lentils, Tomatoes",High Risk,"⚠️ High Risk: Contains Onions, Lentils, Tomatoes. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread","Bread, Vegetables",High Risk,"⚠️ High Risk: Contains Bread, Vegetables. Avoid if allergic!",
Momos,"Wheat, Vegetables, Chicken",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Vegetables, Beef",High Risk,"⚠️ High Risk: Contains Vegetables, Beef. Avoid if allergic!",
Malai Kofta,"Paneer, Cream, Spices","Spices, Paneer",High Risk,"⚠️ High Risk: Contains Spices, Paneer. Avoid if allergic!",
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Wheat, Vegetables",High Risk,"⚠️ High Risk: Contains Wheat, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Fish Curry,"Fish, Coconut, Spices","Fish, Spices",High Risk,"⚠️ High Risk: Contains Fish, Spices. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Duck, Soy Sauce, Hoisin Sauce",High Risk,"⚠️ High Risk: Contains Duck, Soy Sauce, Hoisin Sauce. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices","Chicken, Yogurt, Spices",High Risk,"⚠️ High Risk: Contains Chicken, Yogurt, Spices. Avoid if allergic!",
Malai Kofta,"Paneer, Cream, Spices","Cream, Spices, Paneer",High Risk,"⚠️ High Risk: Contains Cream, Spices, Paneer. Avoid if allergic!",
Aloo Paratha,"Wheat, Potatoes, Spices",Potatoes,Medium Risk,⚠️ Medium Risk: Contains Potatoes. Avoid if allergic!,
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Vegetables, Rice",High Risk,"⚠️ High Risk: Contains Vegetables, Rice. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices","Spices, Coconut, Fish",High Risk,"⚠️ High Risk: Contains Spices, Coconut, Fish. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream","Cream, Paneer",High Risk,"⚠️ High Risk: Contains Cream, Paneer. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices","Yogurt, Chicken, Spices",High Risk,"⚠️ High Risk: Contains Yogurt, Chicken, Spices. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread","Vegetables, Bread",High Risk,"⚠️ High Risk: Contains Vegetables, Bread. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread",Butter,Medium Risk,⚠️ Medium Risk: Contains Butter. Avoid if allergic!,
Peanut Chikki,"Peanuts, Jaggery","Peanuts, Jaggery",High Risk,"⚠️ High Risk: Contains Peanuts, Jaggery. Avoid if allergic!","Sunflower Butter, Almond Butter"
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Soy Sauce, Duck",High Risk,"⚠️ High Risk: Contains Soy Sauce, Duck. Avoid if allergic!",
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Garlic, Soy Sauce",High Risk,"⚠️ High Risk: Contains Garlic, Soy Sauce. Avoid if allergic!",
Peanut Chikki,"Peanuts, Jaggery",Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Palak Paneer,"Spinach, Paneer, Cream",Spinach,Medium Risk,⚠️ Medium Risk: Contains Spinach. Avoid if allergic!,
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Soy Sauce, Peanuts",High Risk,"⚠️ High Risk: Contains Soy Sauce, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Capsicum, Paneer",High Risk,"⚠️ High Risk: Contains Capsicum, Paneer. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Dhokla,"Chickpea Flour, Yogurt","Chickpea Flour, Yogurt",High Risk,"⚠️ High Risk: Contains Chickpea Flour, Yogurt. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Rice, Vegetables",High Risk,"⚠️ High Risk: Contains Rice, Vegetables. Avoid if allergic!",
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Chow Mein,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
