Food Name,Ingredients,Detected Allergens,Risk Level,Notes,Alternative Suggestions
Fried Wontons,"Milk, Shellfish, Eggs","Milk, Shellfish, Eggs",High Risk,"⚠️ High Risk: Contains Milk, Shellfish, Eggs. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Mushrooms, Tofu, Chia Seeds, Flaxseeds"
Malai Kofta,"Peanuts, Gluten, Milk","Peanuts, Gluten, Milk",High Risk,"⚠️ High Risk: Contains Peanuts, Gluten, Milk. Avoid if allergic!","Sunflower Butter, Almond Butter, Gluten-Free Wrap, Rice Paper, Almond Milk, Cashew Cream, Soy Milk"
Rasgulla,"Wheat, Tree Nuts","Wheat, Tree Nuts",High Risk,"⚠️ High Risk: Contains Wheat, Tree Nuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Seeds (Sunflower, Pumpkin)"
Gobi Manchurian,"Gluten, Wheat","Gluten, Wheat",High Risk,"⚠️ High Risk: Contains Gluten, Wheat. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Gluten-Free Flour, Rice Flour"
Butter Naan,"Peanuts, Milk","Peanuts, Milk",High Risk,"⚠️ High Risk: Contains Peanuts, Milk. Avoid if allergic!","Sunflower Butter, Almond Butter, Almond Milk, Cashew Cream, Soy Milk"
Shrimp Fried Rice,"Tree Nuts, Gluten","Tree Nuts, Gluten",High Risk,"⚠️ High Risk: Contains Tree Nuts, Gluten. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Wrap, Rice Paper"
Shrimp Fried Rice,"Soy, Gluten","Soy, Gluten",High Risk,"⚠️ High Risk: Contains Soy, Gluten. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Gluten-Free Wrap, Rice Paper"
Idli Sambar,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Chow Mein,"Wheat, Eggs, Soy","Wheat, Eggs, Soy",High Risk,"⚠️ High Risk: Contains Wheat, Eggs, Soy. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds, Coconut Aminos, Tamari Sauce"
Momos,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Chicken 65,"Soy, Tree Nuts","Soy, Tree Nuts",High Risk,"⚠️ High Risk: Contains Soy, Tree Nuts. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Seeds (Sunflower, Pumpkin)"
Paneer Tikka,"Peanuts, Shellfish","Peanuts, Shellfish",High Risk,"⚠️ High Risk: Contains Peanuts, Shellfish. Avoid if allergic!","Sunflower Butter, Almond Butter, Mushrooms, Tofu"
Sichuan Hot Pot,"Eggs, Shellfish","Eggs, Shellfish",High Risk,"⚠️ High Risk: Contains Eggs, Shellfish. Avoid if allergic!","Chia Seeds, Flaxseeds, Mushrooms, Tofu"
Fried Wontons,"Gluten, Soy","Gluten, Soy",High Risk,"⚠️ High Risk: Contains Gluten, Soy. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce"
Peanut Chikki,"Tree Nuts, Wheat, Shellfish","Tree Nuts, Wheat, Shellfish",High Risk,"⚠️ High Risk: Contains Tree Nuts, Wheat, Shellfish. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour, Mushrooms, Tofu"
Chilli Paneer,"Shellfish, Milk, Soy","Shellfish, Milk, Soy",High Risk,"⚠️ High Risk: Contains Shellfish, Milk, Soy. Avoid if allergic!","Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk, Coconut Aminos, Tamari Sauce"
Butter Naan,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Fish Curry,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Rajma Chawal,"Peanuts, Milk, Wheat","Peanuts, Milk, Wheat",High Risk,"⚠️ High Risk: Contains Peanuts, Milk, Wheat. Avoid if allergic!","Sunflower Butter, Almond Butter, Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Tandoori Chicken,"Peanuts, Milk, Shellfish","Peanuts, Milk, Shellfish",High Risk,"⚠️ High Risk: Contains Peanuts, Milk, Shellfish. Avoid if allergic!","Sunflower Butter, Almond Butter, Almond Milk, Cashew Cream, Soy Milk, Mushrooms, Tofu"
Butter Naan,"Tree Nuts, Soy, Shellfish","Tree Nuts, Soy, Shellfish",High Risk,"⚠️ High Risk: Contains Tree Nuts, Soy, Shellfish. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Coconut Aminos, Tamari Sauce, Mushrooms, Tofu"
Sichuan Hot Pot,"Wheat, Eggs, Gluten","Wheat, Eggs, Gluten",High Risk,"⚠️ High Risk: Contains Wheat, Eggs, Gluten. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds, Gluten-Free Wrap, Rice Paper"
Tandoori Chicken,"Peanuts, Milk, Soy","Peanuts, Milk, Soy",High Risk,"⚠️ High Risk: Contains Peanuts, Milk, Soy. Avoid if allergic!","Sunflower Butter, Almond Butter, Almond Milk, Cashew Cream, Soy Milk, Coconut Aminos, Tamari Sauce"
Spring Rolls,"Wheat, Gluten","Wheat, Gluten",High Risk,"⚠️ High Risk: Contains Wheat, Gluten. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper"
Momos,"Peanuts, Shellfish","Peanuts, Shellfish",High Risk,"⚠️ High Risk: Contains Peanuts, Shellfish. Avoid if allergic!","Sunflower Butter, Almond Butter, Mushrooms, Tofu"
Tandoori Chicken,"Wheat, Peanuts","Wheat, Peanuts",High Risk,"⚠️ High Risk: Contains Wheat, Peanuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Sunflower Butter, Almond Butter"
Peanut Chikki,"Tree Nuts, Peanuts","Tree Nuts, Peanuts",High Risk,"⚠️ High Risk: Contains Tree Nuts, Peanuts. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Sunflower Butter, Almond Butter"
Paneer Tikka,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Rajma Chawal,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Palak Paneer,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Rasgulla,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Rajma Chawal,"Peanuts, Gluten","Peanuts, Gluten",High Risk,"⚠️ High Risk: Contains Peanuts, Gluten. Avoid if allergic!","Sunflower Butter, Almond Butter, Gluten-Free Wrap, Rice Paper"
Rajma Chawal,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Shrimp Fried Rice,"Gluten, Soy, Peanuts","Gluten, Soy, Peanuts",High Risk,"⚠️ High Risk: Contains Gluten, Soy, Peanuts. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce, Sunflower Butter, Almond Butter"
Fried Wontons,"Peanuts, Shellfish, Milk","Peanuts, Shellfish, Milk",High Risk,"⚠️ High Risk: Contains Peanuts, Shellfish, Milk. Avoid if allergic!","Sunflower Butter, Almond Butter, Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk"
Chow Mein,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Veg Hakka Noodles,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Schezwan Fried Rice,"Eggs, Tree Nuts","Eggs, Tree Nuts",High Risk,"⚠️ High Risk: Contains Eggs, Tree Nuts. Avoid if allergic!","Chia Seeds, Flaxseeds, Seeds (Sunflower, Pumpkin)"
Kung Pao Chicken,"Eggs, Soy","Eggs, Soy",High Risk,"⚠️ High Risk: Contains Eggs, Soy. Avoid if allergic!","Chia Seeds, Flaxseeds, Coconut Aminos, Tamari Sauce"
Chicken 65,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Palak Paneer,"Tree Nuts, Shellfish, Soy","Tree Nuts, Shellfish, Soy",High Risk,"⚠️ High Risk: Contains Tree Nuts, Shellfish, Soy. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Mushrooms, Tofu, Coconut Aminos, Tamari Sauce"
Dal Tadka,"Shellfish, Gluten, Tree Nuts","Shellfish, Gluten, Tree Nuts",High Risk,"⚠️ High Risk: Contains Shellfish, Gluten, Tree Nuts. Avoid if allergic!","Mushrooms, Tofu, Gluten-Free Wrap, Rice Paper, Seeds (Sunflower, Pumpkin)"
Kung Pao Chicken,"Gluten, Soy","Gluten, Soy",High Risk,"⚠️ High Risk: Contains Gluten, Soy. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce"
Masala Dosa,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Chilli Paneer,"Milk, Gluten, Shellfish","Milk, Gluten, Shellfish",High Risk,"⚠️ High Risk: Contains Milk, Gluten, Shellfish. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Wrap, Rice Paper, Mushrooms, Tofu"
Palak Paneer,"Wheat, Tree Nuts","Wheat, Tree Nuts",High Risk,"⚠️ High Risk: Contains Wheat, Tree Nuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Seeds (Sunflower, Pumpkin)"
Chow Mein,"Soy, Eggs","Soy, Eggs",High Risk,"⚠️ High Risk: Contains Soy, Eggs. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds"
Sichuan Hot Pot,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Gobi Manchurian,"Wheat, Gluten","Wheat, Gluten",High Risk,"⚠️ High Risk: Contains Wheat, Gluten. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper"
Chow Mein,"Soy, Shellfish, Milk","Soy, Shellfish, Milk",High Risk,"⚠️ High Risk: Contains Soy, Shellfish, Milk. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk"
Idli Sambar,"Shellfish, Eggs","Shellfish, Eggs",High Risk,"⚠️ High Risk: Contains Shellfish, Eggs. Avoid if allergic!","Mushrooms, Tofu, Chia Seeds, Flaxseeds"
Tandoori Chicken,"Milk, Gluten, Soy","Milk, Gluten, Soy",High Risk,"⚠️ High Risk: Contains Milk, Gluten, Soy. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce"
Momos,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Palak Paneer,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Aloo Paratha,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Paneer Tikka,"Wheat, Gluten","Wheat, Gluten",High Risk,"⚠️ High Risk: Contains Wheat, Gluten. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper"
Schezwan Fried Rice,"Milk, Gluten","Milk, Gluten",High Risk,"⚠️ High Risk: Contains Milk, Gluten. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Wrap, Rice Paper"
Momos,"Peanuts, Soy","Peanuts, Soy",High Risk,"⚠️ High Risk: Contains Peanuts, Soy. Avoid if allergic!","Sunflower Butter, Almond Butter, Coconut Aminos, Tamari Sauce"
Butter Naan,"Eggs, Gluten, Tree Nuts","Eggs, Gluten, Tree Nuts",High Risk,"⚠️ High Risk: Contains Eggs, Gluten, Tree Nuts. Avoid if allergic!","Chia Seeds, Flaxseeds, Gluten-Free Wrap, Rice Paper, Seeds (Sunflower, Pumpkin)"
Veg Hakka Noodles,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Aloo Paratha,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Dhokla,"Milk, Wheat","Milk, Wheat",High Risk,"⚠️ High Risk: Contains Milk, Wheat. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Malai Kofta,"Peanuts, Milk","Peanuts, Milk",High Risk,"⚠️ High Risk: Contains Peanuts, Milk. Avoid if allergic!","Sunflower Butter, Almond Butter, Almond Milk, Cashew Cream, Soy Milk"
Palak Paneer,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Malai Kofta,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Schezwan Fried Rice,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Schezwan Fried Rice,"Wheat, Soy, Peanuts","Wheat, Soy, Peanuts",High Risk,"⚠️ High Risk: Contains Wheat, Soy, Peanuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Coconut Aminos, Tamari Sauce, Sunflower Butter, Almond Butter"
Butter Naan,"Gluten, Tree Nuts, Milk","Gluten, Tree Nuts, Milk",High Risk,"⚠️ High Risk: Contains Gluten, Tree Nuts, Milk. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Seeds (Sunflower, Pumpkin), Almond Milk, Cashew Cream, Soy Milk"
Butter Naan,"Wheat, Milk","Wheat, Milk",High Risk,"⚠️ High Risk: Contains Wheat, Milk. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Almond Milk, Cashew Cream, Soy Milk"
Butter Naan,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Paneer Tikka,"Gluten, Eggs","Gluten, Eggs",High Risk,"⚠️ High Risk: Contains Gluten, Eggs. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Chia Seeds, Flaxseeds"
Gobi Manchurian,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Momos,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Schezwan Fried Rice,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Chicken 65,"Wheat, Eggs","Wheat, Eggs",High Risk,"⚠️ High Risk: Contains Wheat, Eggs. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds"
Chilli Paneer,"Wheat, Eggs, Milk","Wheat, Eggs, Milk",High Risk,"⚠️ High Risk: Contains Wheat, Eggs, Milk. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds, Almond Milk, Cashew Cream, Soy Milk"
Shrimp Fried Rice,"Milk, Peanuts","Milk, Peanuts",High Risk,"⚠️ High Risk: Contains Milk, Peanuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Sunflower Butter, Almond Butter"
Spring Rolls,"Soy, Wheat","Soy, Wheat",High Risk,"⚠️ High Risk: Contains Soy, Wheat. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Gluten-Free Flour, Rice Flour"
Schezwan Fried Rice,"Gluten, Tree Nuts","Gluten, Tree Nuts",High Risk,"⚠️ High Risk: Contains Gluten, Tree Nuts. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Seeds (Sunflower, Pumpkin)"
Manchow Soup,"Eggs, Milk, Shellfish","Eggs, Milk, Shellfish",High Risk,"⚠️ High Risk: Contains Eggs, Milk, Shellfish. Avoid if allergic!","Chia Seeds, Flaxseeds, Almond Milk, Cashew Cream, Soy Milk, Mushrooms, Tofu"
Sichuan Hot Pot,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Masala Dosa,"Tree Nuts, Wheat","Tree Nuts, Wheat",High Risk,"⚠️ High Risk: Contains Tree Nuts, Wheat. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour"
Rasgulla,"Soy, Eggs, Wheat","Soy, Eggs, Wheat",High Risk,"⚠️ High Risk: Contains Soy, Eggs, Wheat. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds, Gluten-Free Flour, Rice Flour"
Momos,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Mapo Tofu,"Peanuts, Tree Nuts, Shellfish","Peanuts, Tree Nuts, Shellfish",High Risk,"⚠️ High Risk: Contains Peanuts, Tree Nuts, Shellfish. Avoid if allergic!","Sunflower Butter, Almond Butter, Seeds (Sunflower, Pumpkin), Mushrooms, Tofu"
Gobi Manchurian,"Tree Nuts, Shellfish, Gluten","Tree Nuts, Shellfish, Gluten",High Risk,"⚠️ High Risk: Contains Tree Nuts, Shellfish, Gluten. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Mushrooms, Tofu, Gluten-Free Wrap, Rice Paper"
Manchow Soup,"Soy, Milk","Soy, Milk",High Risk,"⚠️ High Risk: Contains Soy, Milk. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Almond Milk, Cashew Cream, Soy Milk"
Gobi Manchurian,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Peanut Chikki,"Peanuts, Tree Nuts","Peanuts, Tree Nuts",High Risk,"⚠️ High Risk: Contains Peanuts, Tree Nuts. Avoid if allergic!","Sunflower Butter, Almond Butter, Seeds (Sunflower, Pumpkin)"
Veg Hakka Noodles,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Manchow Soup,"Peanuts, Shellfish","Peanuts, Shellfish",High Risk,"⚠️ High Risk: Contains Peanuts, Shellfish. Avoid if allergic!","Sunflower Butter, Almond Butter, Mushrooms, Tofu"
Shrimp Fried Rice,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Malai Kofta,"Shellfish, Gluten","Shellfish, Gluten",High Risk,"⚠️ High Risk: Contains Shellfish, Gluten. Avoid if allergic!","Mushrooms, Tofu, Gluten-Free Wrap, Rice Paper"
Butter Naan,"Soy, Milk, Gluten","Soy, Milk, Gluten",High Risk,"⚠️ High Risk: Contains Soy, Milk, Gluten. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Wrap, Rice Paper"
Tandoori Chicken,"Peanuts, Shellfish","Peanuts, Shellfish",High Risk,"⚠️ High Risk: Contains Peanuts, Shellfish. Avoid if allergic!","Sunflower Butter, Almond Butter, Mushrooms, Tofu"
Fish Curry,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Pav Bhaji,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Peanut Chikki,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Veg Hakka Noodles,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Rasgulla,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Rasgulla,"Tree Nuts, Peanuts","Tree Nuts, Peanuts",High Risk,"⚠️ High Risk: Contains Tree Nuts, Peanuts. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Sunflower Butter, Almond Butter"
Dhokla,"Soy, Eggs","Soy, Eggs",High Risk,"⚠️ High Risk: Contains Soy, Eggs. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds"
Dal Tadka,"Shellfish, Milk","Shellfish, Milk",High Risk,"⚠️ High Risk: Contains Shellfish, Milk. Avoid if allergic!","Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk"
Spring Rolls,"Wheat, Eggs","Wheat, Eggs",High Risk,"⚠️ High Risk: Contains Wheat, Eggs. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds"
Gobi Manchurian,"Tree Nuts, Wheat","Tree Nuts, Wheat",High Risk,"⚠️ High Risk: Contains Tree Nuts, Wheat. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour"
Chow Mein,"Gluten, Tree Nuts, Peanuts","Gluten, Tree Nuts, Peanuts",High Risk,"⚠️ High Risk: Contains Gluten, Tree Nuts, Peanuts. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Seeds (Sunflower, Pumpkin), Sunflower Butter, Almond Butter"
Chicken Biryani,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Chicken Biryani,"Gluten, Peanuts, Shellfish","Gluten, Peanuts, Shellfish",High Risk,"⚠️ High Risk: Contains Gluten, Peanuts, Shellfish. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Sunflower Butter, Almond Butter, Mushrooms, Tofu"
Malai Kofta,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Chow Mein,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Momos,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Rajma Chawal,"Shellfish, Milk, Peanuts","Shellfish, Milk, Peanuts",High Risk,"⚠️ High Risk: Contains Shellfish, Milk, Peanuts. Avoid if allergic!","Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk, Sunflower Butter, Almond Butter"
Chicken Biryani,"Soy, Peanuts, Milk","Soy, Peanuts, Milk",High Risk,"⚠️ High Risk: Contains Soy, Peanuts, Milk. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Sunflower Butter, Almond Butter, Almond Milk, Cashew Cream, Soy Milk"
Mapo Tofu,"Tree Nuts, Milk, Peanuts","Tree Nuts, Milk, Peanuts",High Risk,"⚠️ High Risk: Contains Tree Nuts, Milk, Peanuts. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Almond Milk, Cashew Cream, Soy Milk, Sunflower Butter, Almond Butter"
Paneer Tikka,"Tree Nuts, Gluten, Soy","Tree Nuts, Gluten, Soy",High Risk,"⚠️ High Risk: Contains Tree Nuts, Gluten, Soy. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce"
Butter Naan,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Paneer Tikka,"Peanuts, Shellfish, Tree Nuts","Peanuts, Shellfish, Tree Nuts",High Risk,"⚠️ High Risk: Contains Peanuts, Shellfish, Tree Nuts. Avoid if allergic!","Sunflower Butter, Almond Butter, Mushrooms, Tofu, Seeds (Sunflower, Pumpkin)"
Sichuan Hot Pot,"Milk, Soy","Milk, Soy",High Risk,"⚠️ High Risk: Contains Milk, Soy. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Coconut Aminos, Tamari Sauce"
Dal Tadka,"Peanuts, Tree Nuts, Soy","Peanuts, Tree Nuts, Soy",High Risk,"⚠️ High Risk: Contains Peanuts, Tree Nuts, Soy. Avoid if allergic!","Sunflower Butter, Almond Butter, Seeds (Sunflower, Pumpkin), Coconut Aminos, Tamari Sauce"
Paneer Tikka,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Chicken 65,"Eggs, Shellfish, Tree Nuts","Eggs, Shellfish, Tree Nuts",High Risk,"⚠️ High Risk: Contains Eggs, Shellfish, Tree Nuts. Avoid if allergic!","Chia Seeds, Flaxseeds, Mushrooms, Tofu, Seeds (Sunflower, Pumpkin)"
Fried Wontons,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Rajma Chawal,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Butter Naan,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Shrimp Fried Rice,"Wheat, Milk, Tree Nuts","Wheat, Milk, Tree Nuts",High Risk,"⚠️ High Risk: Contains Wheat, Milk, Tree Nuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Almond Milk, Cashew Cream, Soy Milk, Seeds (Sunflower, Pumpkin)"
Peanut Chikki,"Shellfish, Eggs","Shellfish, Eggs",High Risk,"⚠️ High Risk: Contains Shellfish, Eggs. Avoid if allergic!","Mushrooms, Tofu, Chia Seeds, Flaxseeds"
Fried Wontons,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Chilli Paneer,"Shellfish, Wheat","Shellfish, Wheat",High Risk,"⚠️ High Risk: Contains Shellfish, Wheat. Avoid if allergic!","Mushrooms, Tofu, Gluten-Free Flour, Rice Flour"
Sichuan Hot Pot,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Malai Kofta,"Tree Nuts, Wheat, Milk","Tree Nuts, Wheat, Milk",High Risk,"⚠️ High Risk: Contains Tree Nuts, Wheat, Milk. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour, Almond Milk, Cashew Cream, Soy Milk"
Masala Dosa,"Eggs, Wheat","Eggs, Wheat",High Risk,"⚠️ High Risk: Contains Eggs, Wheat. Avoid if allergic!","Chia Seeds, Flaxseeds, Gluten-Free Flour, Rice Flour"
Aloo Paratha,"Wheat, Shellfish","Wheat, Shellfish",High Risk,"⚠️ High Risk: Contains Wheat, Shellfish. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Mushrooms, Tofu"
